kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/woU1SRpJeJsTCOJTt18aEi4dRWQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1QeGOahS8-USb_6E1K60qoGh6KQ""",phyqIbBsUP4,9500,77,1,0,9
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/z6bsqU4_mHt1QGC1MPZR246OHfE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/TDskSV0s0tbxHjh0keTXvbwTJUU""",Fzgq2lyPjoo,1539,76,3,0,4
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/tBjSAYORIjtDw8TGyMn19OFalvs""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/4CncjcswfmIxtMD83pEX_9bGNX4""",zVu9eawb1QY,1759740,11736,548,0,2586
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/PTQ6F40dejEMTxvbuP9sA9DTTuU""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/GJ31bJ7FwyQZCQvlaw7LAKr68g4""",z7PJVPLasdU,3826,129,5,0,9
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ejK31a4RG9lDU5U6v0ugPJ5uT6o""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UfH3SuA95sa8b1UZCnxwEocI9uQ""",GOv-VJAW5Ns,1159,35,1,0,4
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/supvx-DgOEvv5hk663zgZj6THMI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/quIhN_KpYbRJeJ1NVMlPU-bggv8""",pGu37HsNsfE,8737,27,2,0,4
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/LwVaYuCXYaOsJBgqlQP5OogAWUI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/oe8ghLIazfk5w9ls5gxavDZu3KA""",ySW-3qewW-E,723,4,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/dtdsXZYeLwqE53UURlC2yUROpzo""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/tTYPCFgrRK-s1deRDBuzn6ncRTo""",esj393oRKPc,238452,1803,113,0,343
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/87KuOpq50TIYKw2FXZ1R6a8pZbw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-eVUK218WjSoprvsd05S5zi9eg4""",WRUjoBBXoKM,34965,245,2,0,8
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/r8WzU4edNousSstOZWTqIMpeELk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/qYE5MbZqoN3PsGpJiu2o6NxUTIo""",oe_TCM7f71w,58555,707,31,0,305
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/2yRUgs_wHPlR9css_h_-ksXtLfA""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/kB5Lj6e8jB9q2KYgvYDKrG0E71U""",n7BreZcOvG4,1286,7,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/hgchR8PKgh5eHgxTQGYdZrXgBq8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/dUoGWdR0CGBukJtaLN22w09OcCM""",BpyNP0bqgyI,2176,18,0,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/hrOwkdLcjzS3zq9-__NrayQD8lM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ynY9v_8mQ-UorDdxu_yjO22hL6Q""",sPpU1EKYBGM,120656,674,35,0,80
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UtkJ8lVBOrA-r0ENDxVIZXZyHok""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/T73-0gMypzxz946H4MfolxgcyO0""",zH1dKQI5gO4,8657,49,4,0,11
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/VHjtLBITAQfIE_pBK5COcsPzoK8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/jIZ6kKT79YJxYCSVl0kpA8zNvFc""",fb_1gOvJRJE,618,3,0,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/w9S6M8jRvprB4h0pIlwLMUbVjb8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0yq9faXtKvviN7vAx8l5RyjDoVM""",IrdRJ22bU2k,709,3,1,0,
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/lxbuGBRTo3xrLEb1OrDfSZ3XY5k""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/LWSzjHD82D4bWs-Oc8SnzZBsCeI""",J97PLkBahqE,84089,109,18,0,66
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rMjXNP3zMVe4HwqzBuLwZHv_t7Q""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/3NlFZTnB1fyimnPp_IAbtUkPUdI""",OgN2PFAEtGM,17124,141,3,0,15
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/3LzMbW4dAF4wZUETG1wWWwW8Z8w""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9hXzRsyhlPZ1p4XCloASftk_mog""",6b0Bs57tjCw,1818,5,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/dAomO9w6sGnOBg5JabxxsealW0k""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/75rZFKNI19N48dexVFHnPvtW8hI""",OUDO4m8Z42U,477392,2049,27,0,97
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/PBsSieUX_vSq-5yRFsVMsaQ7G_I""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Qq3C6dBQ7P-VlpZPSBUgBc2FLq4""",vVVh2e3LeDI,4837,22,1,0,6
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/sfi7Y6JVSuwS2Zlb7uPcuvZDozg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/52LSN9xgrkv8Tj2EaOr-jJ3JZzs""",odI7pQFyjso,1956151,5204,294,0,
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ChePbzWvd6MWb6Hx9ibuxiJHbDY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/dJNgerWe4imw6QmnoTff3semX68""",k3HKh4-feLk,2061,54,2,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Im9Dgh5HGWauSuZpLY39ZRdhPF0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/KVM-P4ZrHs-8Y50YN1HQMTz_26o""",3u_8frR0IpE,1381600,2509,979,0,2326
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/3gL3tEzNk_jjYnTB6xtCYpqiq7E""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9lZXCmTirbE8Mpl8FkZo2n7Bwow""",4EFdfRKr18c,887,4,0,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/MrdeSL1fylzBKxwryn3kAQ9GjIs""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WzNwJU4UTrXn_zw2uSw-HWGrw58""",uvg7zL4Le48,5771,20,1,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QoGFwZP9fBr2zRKD8wdinnxONPw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/5TpOJqtE4nXgHHi53mDFaCMfg3I""",qhbliUq0_r4,8244103,68462,15001,0,14386
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7CSytt9SIxb22S-0eExjcfiOGLc""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/NQLA-qxE90lxlCIS6BpBLKtN4vQ""",khbwke1fDvw,2208,2,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/YTwoyWn4Yr2IIm7E2iWkTbTs3g0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/KWFSoGq2UTOY-jVaM0b6gZ9FBc8""",Lk3yBpV8Pac,94528,549,20,0,39
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/mUd3cMMvZX387Ea7rh-9j487cug""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/W26KWWz-bpBNct2LyIV4Mqwx-KA""",3dEH-jMmW2s,5889,4,1,0,0
