kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/GR283D_yDELjNa48a0TNAQywRnw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Fz4FELBoBNbvlGAiymJY5hdFpgg""",FEbtrlYQuzk,149932,3213,84,0,1352
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1YaXqa6bo2GvKCiijIv9AddUHFk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/5D2pIQXblTTfC6eI6EnUXR0Wec8""",FBeTxeRBWhA,19241,511,24,0,301
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1Cx-I12BXPUfB3uVovtauXPH940""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/_W8yW5ygvytX_CKOhA0WKAHGveY""",SBFQYSTDUJA,10846,209,28,0,62
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Hb2O_docQRIQlQwwV9TZ5FcwKds""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/OEs_fNd3PkukmwsxvDTwpiSOSrU""",fiaUQEJ1sPI,32335,1358,31,0,464
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/z1BJIwBC_G072eyqQDR9hjkeK9Y""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/gi53ZZybeHwJ5jwzDe3WToPgdXE""",-Yqk5cHXsko,257597,446,16,0,42
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DHV361aRaHhU4k5CDv-I0xlpq8Q""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/8z4MZM2MnirNlvv1dgGNZ02Fj9g""",DzXaePhrL0U,120151,4754,125,0,2166
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Jfsr7siFwS8MsPFKv7vh5bmIq_M""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/VgEw0mUpRo5SrFwYak4KTwkR5Y8""",t2G5T_rdeSQ,76248,243,19,0,38
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/s971IxgCzReIHfAko2lrBIK3hl8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ebuiliTS-Hfp1efT6Ve5HCCKBzs""",rLXeeJFpkM4,26138,365,19,0,105
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1pp2zNQMC_PBL_9o965Ize5smCI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/3H-mZEc4noT2uMMw1n9xyU2wJHw""",cGcvhfat8MM,376654,2935,130,0,447
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/NyeTA-_4HB3zmOIfFWU1JxrxeVA""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Nk9eOwcYGwd6oJWIMhrT5aKqRzQ""",yMzVpY4f-Xo,9701,365,23,0,86
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/iudLsZ2a-pOsiDmZ0OyVQ1vEv8E""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1kja1Xx_fY--XfiDBCbHzrKOkeY""",7-BF0OmtTv4,887393,6679,190,0,544
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/gYt6zklKeG8tcfClOV5xu8YDmIU""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/SS2_aR5eRNfJzF_1K0azFmHD84M""",D72cCXxzuF8,4572,30,8,0,16
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/wraNdZISHJdlLThBTCXXtXVeV7g""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/uyUmIdpGac-HRizWdxe9cNnFkro""",DOY34Q-JD4Q,17495,13,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1FzWgXkLPzR5IPtZcTWyET1xPaY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Ukqeis4Y7w2tXsm8t1tbjfcclmc""",wpYJLNCBwJo,25493,172,1,0,14
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/V42K7JZGng7Omsu97qO539PkC84""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ppyKUhEZIUFXLKfgA4pvDp2hRxc""",4bO_FLl4F1Q,17817,23,9,0,14
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Qk4dRL0pmta4mO0AHyJnw9tTDks""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i7vIVw195cGdQ3h19NtC26aSDFs""",on9l0KvR5h4,28562,185,6,0,7
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/6tle5UZfzLX_hQo3Z5-6Grrp2-A""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/n5tSEp4YqtYo6EcmtEpA0k9UYRU""",o34G5pN29AI,13296,786,22,0,348
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xOJ5rY3bBAU95zg5Q68vA2cUmVc""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/XOV7pLCIc_VD7jn5kf0LMV7tbU8""",TM27RJ2ATj4,461839,3446,194,0,623
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/GRbgF9eF--87jwHzfFVaPgEVQHQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0qaESh_qU0yyvEz3dv-La8L2wmM""",-TpRymuoACs,87029,447,27,0,50
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xlvVzonKoi7GLTjxXM9REWild4k""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7on4ByuRzLoZUfoO8a8yK_mRRag""",VPBQKHb-ZyU,5602,170,8,0,100
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/VBTAWNhHgoG9KywPa_xZVPrNzr4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zlN1Du41x1SB4hJDsT3qm0FMN7c""",M8D3Z7PBng8,13027,384,31,0,189
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/skrN4uUm1nztoVF5WCvvZGxKhKE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/8lUSXQXPk-axj2Wo7tOA7vxG-jo""",HKxCdTA-cDg,37921,526,37,0,214
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/yGMmmKSO9gr0_ZLenkYj5YVEwzI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Og0lI4ZSOUehaE1QD3cqK6DeYEE""",yBIS2mj0vQ4,9029,74,4,0,6
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/OpBXEk4YZs2ECSYh7YkTy4G7H9k""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DGpq2SuBbb9gx-MlOFWkDAE0AX0""",Y1f8Cz4i5Hg,4372,147,11,0,75
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/txXnt-m5CKs2QjL96iByPN8Saeg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Bt2YcZT-wAggFjwenmEEcDM7jHU""",cCfwV556a00,11044,44,5,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RsL1wY33kGempPbf-PmtiDqf9oE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/K6eOv99TH5XqZwK2OsUFP8DCXYk""",q33A1_WWKuo,7451,45,1,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/iZQi7drfeHOy0KsFg3yqPQ1u9tg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/sS_Lz8Oi4Yw2Rz4BKI8FBHLb7vM""",HwDWNFOjaRE,27957,77,6,0,7
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/NdHgSjrrJFfb9Q542Uj1GHwSaFY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/OcsXmTKJgx7wgRXM2VJjljWYTgA""",Zo0VK1tJHAM,170602,512,39,0,34
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0E7Xh69W4AFjU0S8IRq0fkWJAQc""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ItjzWggcsdj7MzRYjjmVrcMGF-Q""",thd-_m6B9nQ,5689,26,1,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HLlY23-RHyASUdjq0f9lDootWzY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/PHNvPsw8v4BTicRh1FPafRqpfm0""",6luQNqHDZl8,6307,123,3,0,64
